"model_id","original_model_id","sku","model_status_code","locale","page_name","locale_code"
MD00017372,MD00017372,MB3949G.CWHQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017373,MD00017373,MB3940GS.CSLQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017374,MD00017374,MH6549DRK.CBKQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017375,MD00017375,MH6589UR.CSSQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017376,MD00017376,MC7849HS.CSLQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017377,MD00017377,MC8087MRS.CSLQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017381,MD00017381,N2B1D.AUKR01I.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017389,MD00017389,E2250V-PN.AEK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017391,MD00017391,BD560.BGBRLLK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017393,MD00017393,HB44S.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017394,MD00017394,HB44C.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017395,MD00017395,HT965TZ.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017396,MD00017396,HB965TZ.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017397,MD00017397,HX300G.AEK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017398,MD00017398,F1480FD6.ABPQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017399,MD00017399,RC8015C.ALSQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017407,MD00017407,DVX582H.BGBRLLK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017408,MD00017408,HB905PA.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017409,MD00017409,GT540.AEIRBK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017410,MD00017410,HX995TZ.BDEULL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017411,MD00017411,F1479FDS5.ALSQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017412,MD00017412,F1681TD.ABWQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017415,MD00017415,GS7161AELV.AAVQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017416,MD00017416,GWL227HHXV.ASVQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017417,MD00017417,GWB207FVQA.ASWQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017418,MD00017418,GB5133WBBW.AWBQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017431,MD00017431,BL40.AORUBK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017432,MD00017432,GM750.AVDFTN.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017434,MD00017434,RC9011A.ABWQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017435,MD00017435,RC9011C.ALSQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017436,MD00017436,RC9011B.ABPQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017437,MD00017437,WD12317RDK.ALSQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017438,MD00017438,F1403RD.ABWQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017439,MD00017439,F1403RD6.ABPQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017440,MD00017440,F1447TD.ABWQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017441,MD00017441,F1447TD5.ALSQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017442,MD00017442,GD900.AGBRTN.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017443,MD00017443,F1247TD.ABWQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017444,MD00017444,F1247TD5.ALSQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017445,MD00017445,F1456QD.ABWQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017446,MD00017446,F1256QD.ABWQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017448,MD00017448,BL20.AO2UBK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017449,MD00017449,F1443KD6.ABPQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017471,MD00017471,DVX550.BGBRLLK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017472,MD00017472,HT305SU.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017473,MD00017473,BX580.BGBRLLK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017474,MD00017474,E2350V-PN.AEK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017478,MD00017478,DP450.AGBRLLK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017479,MD00017479,HT44S.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017480,MD00017480,HB45E.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017481,MD00017481,FA164DAB.DGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017483,MD00017483,F1480TDS.ABWQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017484,MD00017484,F1456QD5.ALSQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017485,MD00017485,F1403YD5.ALSQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017486,MD00017486,F1403YD.ABWQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017487,MD00017487,GB5133AVBW.AAVQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017488,MD00017488,GB5533BMTW.ABMQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017489,MD00017489,M2380DF-PZ.AEK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017490,MD00017490,MP9289NSD.ABKQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017491,MD00017491,MS2589UR.CSSQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017492,MD00017492,MC8289BRK.CBKQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017493,MD00017493,W2363D-PF.AEK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017494,MD00017494,E2750V-PN.AEK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017506,MD00017506,BX501B.AEK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017509,MD00017509,BD570.BGBRLLK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017510,MD00017510,HB905DA.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017511,MD00017511,HT805PH.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017513,MD00017513,GB7143A2PW1.AA2QLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017514,MD00017514,HX995DF.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017515,MD00017515,F1479FDS.ABWQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017525,MD00017525,LGP500.ADEUBK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017535,MD00017535,E1910S-BN.AEU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017536,MD00017536,HR600.BGBRLLK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017537,MD00017537,HX976TZW.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017538,MD00017538,HX806PG.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017539,MD00017539,HFB-320.AGEUSV.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017549,MD00017549,E2281VR-BN.AEK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017550,MD00017550,E2381VR-BN.AEK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017551,MD00017551,HX996TS.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017552,MD00017552,HX906PA.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017553,MD00017553,HX46R.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017555,MD00017555,IPS231P-BN.AEK.EEUK.UK.C,DISCONTINUED,UK,"",
